zipcode,year,month,volume
11201.0,2024,5,20201
11203.0,2007,11,153494
11203.0,2009,6,20450
11203.0,2010,1,242
11203.0,2010,7,166914
11203.0,2010,11,369392
11203.0,2011,9,336
11203.0,2011,10,215590
11203.0,2011,11,9036
11203.0,2012,1,143
11203.0,2012,5,74706
11203.0,2012,10,51
11203.0,2012,12,517
11203.0,2014,1,5289
11203.0,2015,8,40070
11203.0,2024,5,251812
11204.0,2009,10,13503
11204.0,2009,11,4515
11204.0,2009,12,37393
11204.0,2010,12,11382
11204.0,2012,7,11112
11204.0,2012,10,768
11204.0,2012,11,9934
11204.0,2015,5,9031
11204.0,2016,3,1945
11205.0,2009,4,52542
11205.0,2009,9,55902
11205.0,2010,8,34765
11205.0,2010,9,71665
11205.0,2012,9,336
11205.0,2014,10,25866
11205.0,2016,10,1674
11205.0,2016,12,34134
11206.0,2009,8,66622
11206.0,2009,12,945
11206.0,2011,2,10408
11206.0,2012,9,41543
11206.0,2013,2,5740
11206.0,2013,11,5102
11206.0,2014,1,5536
11206.0,2014,3,181305
11206.0,2014,10,634
11206.0,2016,11,47127
11206.0,2016,12,59229
11206.0,2018,2,202
11206.0,2023,4,28314
11206.0,2023,5,65637
11207.0,2012,1,13775
11207.0,2012,2,180834
11207.0,2013,3,222224
11207.0,2013,12,222469
11207.0,2014,12,224645
11207.0,2017,8,6631
11207.0,2018,11,202329
11207.0,2019,2,13813
11207.0,2020,10,103592
11207.0,2021,11,10269
11207.0,2022,11,18933
11207.0,2023,6,4431
11208.0,2009,2,55923
11208.0,2010,11,42619
11208.0,2010,12,61340
11208.0,2012,3,44044
11208.0,2012,4,114344
11208.0,2013,1,20215
11208.0,2013,3,145
11208.0,2013,4,507
11208.0,2013,5,6446
11208.0,2013,9,35021
11208.0,2013,10,53016
11208.0,2013,12,76559
11208.0,2014,4,0
11208.0,2014,6,55
11208.0,2016,3,4913
11208.0,2016,4,20981
11208.0,2017,4,369
11208.0,2017,8,13675
11208.0,2017,9,1081
11208.0,2018,5,48741
11208.0,2019,7,358
11208.0,2021,5,49931
11208.0,2021,11,15415
11208.0,2022,5,9834
11208.0,2023,6,27759
11208.0,2024,3,11275
11209.0,2009,9,60425
11209.0,2009,11,414
11209.0,2010,5,461
11209.0,2010,6,123522
11209.0,2011,6,94326
11209.0,2011,7,17177
11209.0,2012,10,6418
11209.0,2013,5,51
11209.0,2014,7,65656
11209.0,2016,10,7096
11209.0,2017,1,32045
11209.0,2017,2,2768
11209.0,2017,3,12767
11209.0,2023,4,14754
11210.0,2009,5,621
11210.0,2009,12,8527
11210.0,2012,4,9729
11210.0,2012,11,40368
11210.0,2012,12,13320
11210.0,2013,7,906
11210.0,2015,12,0
11210.0,2016,7,41278
11210.0,2017,4,88
11210.0,2017,5,3
11210.0,2017,9,240624
11210.0,2017,10,28573
11210.0,2018,8,2963
11210.0,2021,6,7899
11210.0,2021,9,2439
11210.0,2022,4,175044
11210.0,2023,3,8970
11210.0,2023,4,85524
11210.0,2023,5,91880
11210.0,2024,2,47884
11211.0,2007,11,98441
11211.0,2008,4,144335
11211.0,2009,1,8867
11211.0,2009,2,8349
11211.0,2009,5,6734
11211.0,2009,7,14342
11211.0,2010,2,262
